part_id,part_name,category,kid_friendly_name,what_it_does,skill_level,voltage,usual_qty,buy_search_term,compatible_with,example_projects,common_mistake,safety_note,online_search_robu,online_search_robocraze,online_search_amazon_in,local_store_search_term,priority,applicable_robot_types,why_add,source_gap_id
SNS-007,Capacitive Soil Moisture Sensor,Sensors,Checks if soil is wet,Measures soil moisture capacitively,Beginner,3.3-5V,1,capacitive soil moisture sensor v1.2,Arduino; ESP32,Plant Watering,Submerging electronics,Insert sensing portion only,https://robu.in/?s=capacitive+soil+moisture+sensor+v1.2&post_type=product,https://robocraze.com/search?q=capacitive+soil+moisture+sensor+v1.2,https://www.amazon.in/s?k=capacitive+soil+moisture+sensor+v1.2,capacitive soil moisture sensor v1.2,Legacy/Core,General / Beginner Robotics,Existing catalog item,
SNS-008,Sound Sensor Module,Sensors,Notices claps,Detects sound level,Beginner,3.3-5V,1,microphone sound sensor module,Arduino; ESP32,Clap Light,Expecting speech recognition,Avoid loud sounds near ears,https://robu.in/?s=microphone+sound+sensor+module&post_type=product,https://robocraze.com/search?q=microphone+sound+sensor+module,https://www.amazon.in/s?k=microphone+sound+sensor+module,microphone sound sensor module,Legacy/Core,General / Beginner Robotics,Existing catalog item,
SNS-009,MPU6050 IMU,Sensors,Feels tilt and rotation,Measures acceleration and rotation,Intermediate,3.3V chip,1,MPU6050 GY-521,Arduino; ESP32,Gesture Controller,Skipping calibration,Mount securely,https://robu.in/?s=MPU6050+GY-521&post_type=product,https://robocraze.com/search?q=MPU6050+GY-521,https://www.amazon.in/s?k=MPU6050+GY-521,MPU6050 GY-521,Legacy/Core,General / Beginner Robotics,Existing catalog item,
MOT-001,BO Geared DC Motor,Motors & Motion,Turns robot wheels,Converts electricity to geared rotation,Beginner,3-6V,2,BO motor 6V 200 RPM dual shaft,L298N; TB6612FNG,Robot Car; Line Follower,Connecting directly to Arduino,Keep fingers and hair clear,https://robu.in/?s=BO+motor+6V+200+RPM+dual+shaft&post_type=product,https://robocraze.com/search?q=BO+motor+6V+200+RPM+dual+shaft,https://www.amazon.in/s?k=BO+motor+6V+200+RPM+dual+shaft,BO motor 6V 200 RPM dual shaft,Legacy/Core,General / Beginner Robotics,Existing catalog item,
MOT-002,TT Geared DC Motor,Motors & Motion,Yellow robot-car motor,Provides geared wheel movement,Beginner,3-6V,2,TT gear motor 6V 200 RPM,Motor drivers; TT wheels,Robot Car,Mismatched wheel shaft,Keep moving parts clear,https://robu.in/?s=TT+gear+motor+6V+200+RPM&post_type=product,https://robocraze.com/search?q=TT+gear+motor+6V+200+RPM,https://www.amazon.in/s?k=TT+gear+motor+6V+200+RPM,TT gear motor 6V 200 RPM,Legacy/Core,General / Beginner Robotics,Existing catalog item,
MOT-003,SG90 Micro Servo,Motors & Motion,Moves to a chosen angle,Positions sensors or mechanisms,Beginner,4.8-6V,1,SG90 9g micro servo,Arduino; ESP32 PWM,Scanning Sensor; Robot Arm,Powering many from controller,Do not force shaft,https://robu.in/?s=SG90+9g+micro+servo&post_type=product,https://robocraze.com/search?q=SG90+9g+micro+servo,https://www.amazon.in/s?k=SG90+9g+micro+servo,SG90 9g micro servo,Legacy/Core,General / Beginner Robotics,Existing catalog item,
MOT-004,MG90S Servo,Motors & Motion,A stronger mini servo,Positions light mechanisms with metal gears,Intermediate,4.8-6V,1,MG90S metal gear servo,Arduino; ESP32,Robot Gripper,Stalling under excess load,Avoid prolonged stalls,https://robu.in/?s=MG90S+metal+gear+servo&post_type=product,https://robocraze.com/search?q=MG90S+metal+gear+servo,https://www.amazon.in/s?k=MG90S+metal+gear+servo,MG90S metal gear servo,Legacy/Core,General / Beginner Robotics,Existing catalog item,
MOT-005,28BYJ-48 + ULN2003,Motors & Motion,Turns in controlled steps,Provides precise slow rotation,Intermediate,5V,1,28BYJ-48 5V ULN2003,Arduino; ESP32,Rotating Display,Driving from GPIO directly,May warm in long use,https://robu.in/?s=28BYJ-48+5V+ULN2003&post_type=product,https://robocraze.com/search?q=28BYJ-48+5V+ULN2003,https://www.amazon.in/s?k=28BYJ-48+5V+ULN2003,28BYJ-48 5V ULN2003,Legacy/Core,General / Beginner Robotics,Existing catalog item,
DRV-001,L298N Motor Driver,Motor Drivers,Motor power middleman,Controls two DC motors,Beginner,Varies,1,L298N dual H bridge motor driver,Arduino; BO/TT motors,Robot Car,Powering motor from Arduino pin,Can get warm,https://robu.in/?s=L298N+dual+H+bridge+motor+driver&post_type=product,https://robocraze.com/search?q=L298N+dual+H+bridge+motor+driver,https://www.amazon.in/s?k=L298N+dual+H+bridge+motor+driver,L298N dual H bridge motor driver,Legacy/Core,General / Beginner Robotics,Existing catalog item,
DRV-002,L293D IC,Motor Drivers,Small motor-control chip,Controls small DC motors,Intermediate,Varies,1,L293D motor driver IC DIP,Arduino; breadboard,Motor Experiments,Wrong IC orientation,Check wiring first,https://robu.in/?s=L293D+motor+driver+IC+DIP&post_type=product,https://robocraze.com/search?q=L293D+motor+driver+IC+DIP,https://www.amazon.in/s?k=L293D+motor+driver+IC+DIP,L293D motor driver IC DIP,Legacy/Core,General / Beginner Robotics,Existing catalog item,
DRV-003,TB6612FNG Driver,Motor Drivers,Efficient motor controller,Controls two motors with PWM,Intermediate,2.5-13.5V motor,1,TB6612FNG dual motor driver,Arduino; ESP32,Efficient Rover,Leaving standby disabled,Avoid reverse polarity,https://robu.in/?s=TB6612FNG+dual+motor+driver&post_type=product,https://robocraze.com/search?q=TB6612FNG+dual+motor+driver,https://www.amazon.in/s?k=TB6612FNG+dual+motor+driver,TB6612FNG dual motor driver,Legacy/Core,General / Beginner Robotics,Existing catalog item,
PWR-001,4xAA Battery Holder,Power,Portable battery box,Holds four AA cells,Beginner,4.8-6V approx.,1,4 AA battery holder with switch,Small robots,Robot Car,Mixing old and new cells,Do not mix chemistries,https://robu.in/?s=4+AA+battery+holder+with+switch&post_type=product,https://robocraze.com/search?q=4+AA+battery+holder+with+switch,https://www.amazon.in/s?k=4+AA+battery+holder+with+switch,4 AA battery holder with switch,Legacy/Core,General / Beginner Robotics,Existing catalog item,
PWR-002,USB Power Bank,Power,Rechargeable USB power,Supplies regulated 5V USB,Beginner,5V,1,5V USB power bank,Arduino; ESP32,Sensor Station,Some switch off at low load,Use certified products,https://robu.in/?s=5V+USB+power+bank&post_type=product,https://robocraze.com/search?q=5V+USB+power+bank,https://www.amazon.in/s?k=5V+USB+power+bank,5V USB power bank,Legacy/Core,General / Beginner Robotics,Existing catalog item,
PWR-003,LM2596 Buck Converter,Power,Steps voltage down,Converts higher DC to lower DC,Intermediate,Adjustable,1,LM2596 buck converter module,Battery projects,Battery Robot,Not checking output first,Wrong voltage can damage parts,https://robu.in/?s=LM2596+buck+converter+module&post_type=product,https://robocraze.com/search?q=LM2596+buck+converter+module,https://www.amazon.in/s?k=LM2596+buck+converter+module,LM2596 buck converter module,Legacy/Core,General / Beginner Robotics,Existing catalog item,
OUT-001,5mm LED,Outputs,Tiny controllable light,Shows project status,Beginner,2-3V forward,3,5mm LED assorted colors,Arduino; ESP32,Traffic Light,No resistor,Use current-limiting resistor,https://robu.in/?s=5mm+LED+assorted+colors&post_type=product,https://robocraze.com/search?q=5mm+LED+assorted+colors,https://www.amazon.in/s?k=5mm+LED+assorted+colors,5mm LED assorted colors,Legacy/Core,General / Beginner Robotics,Existing catalog item,
OUT-002,RGB LED,Outputs,One LED with many colors,Mixes red green blue light,Beginner,Varies,1,5mm RGB LED common cathode,Arduino PWM; ESP32,Mood Light,Wrong common type,Use resistors,https://robu.in/?s=5mm+RGB+LED+common+cathode&post_type=product,https://robocraze.com/search?q=5mm+RGB+LED+common+cathode,https://www.amazon.in/s?k=5mm+RGB+LED+common+cathode,5mm RGB LED common cathode,Legacy/Core,General / Beginner Robotics,Existing catalog item,
OUT-003,Active Buzzer,Outputs,Simple beeper,Makes a tone when powered,Beginner,3.3-5V,1,5V active buzzer module,Arduino; ESP32,Alarm; Quiz,Confusing active and passive,Keep away from ears,https://robu.in/?s=5V+active+buzzer+module&post_type=product,https://robocraze.com/search?q=5V+active+buzzer+module,https://www.amazon.in/s?k=5V+active+buzzer+module,5V active buzzer module,Legacy/Core,General / Beginner Robotics,Existing catalog item,
OUT-004,0.96 OLED I2C,Outputs,Tiny screen,Shows text and graphics,Intermediate,3.3-5V,1,0.96 OLED I2C SSD1306,Arduino; ESP32,Weather Station,Wrong I2C address,Handle gently,https://robu.in/?s=0.96+OLED+I2C+SSD1306&post_type=product,https://robocraze.com/search?q=0.96+OLED+I2C+SSD1306,https://www.amazon.in/s?k=0.96+OLED+I2C+SSD1306,0.96 OLED I2C SSD1306,Legacy/Core,General / Beginner Robotics,Existing catalog item,
OUT-005,16x2 I2C LCD,Outputs,Two-line text screen,Displays messages and readings,Beginner,5V typical,1,16x2 LCD I2C module,Arduino,Thermometer; Quiz,Contrast or address confusion,Low risk,https://robu.in/?s=16x2+LCD+I2C+module&post_type=product,https://robocraze.com/search?q=16x2+LCD+I2C+module,https://www.amazon.in/s?k=16x2+LCD+I2C+module,16x2 LCD I2C module,Legacy/Core,General / Beginner Robotics,Existing catalog item,
OUT-006,1-Channel Relay Module,Outputs,Electrically controlled switch,Switches a separate low-voltage circuit,Intermediate,5V typical,1,5V 1 channel relay module,Arduino,Plant Watering,Using mains voltage,Kid builds should use low-voltage DC only,https://robu.in/?s=5V+1+channel+relay+module&post_type=product,https://robocraze.com/search?q=5V+1+channel+relay+module,https://www.amazon.in/s?k=5V+1+channel+relay+module,5V 1 channel relay module,Legacy/Core,General / Beginner Robotics,Existing catalog item,
IN-001,Tactile Push Button,Inputs,A button the robot feels,Provides momentary input,Beginner,Passive,2,6x6mm tactile push button,Arduino; ESP32,Reaction Game; Quiz,Misreading connected legs,Low risk,https://robu.in/?s=6x6mm+tactile+push+button&post_type=product,https://robocraze.com/search?q=6x6mm+tactile+push+button,https://www.amazon.in/s?k=6x6mm+tactile+push+button,6x6mm tactile push button,Legacy/Core,General / Beginner Robotics,Existing catalog item,
IN-002,10k Potentiometer,Inputs,A value-changing knob,Provides adjustable analog voltage,Beginner,Passive,1,10K linear potentiometer,Arduino; ESP32,LED Dimmer; Servo Knob,Wrong pin wiring,Low risk,https://robu.in/?s=10K+linear+potentiometer&post_type=product,https://robocraze.com/search?q=10K+linear+potentiometer,https://www.amazon.in/s?k=10K+linear+potentiometer,10K linear potentiometer,Legacy/Core,General / Beginner Robotics,Existing catalog item,
IN-003,Joystick Module,Inputs,Game-controller stick,Provides X/Y input and button,Beginner,3.3-5V,1,PS2 joystick module Arduino,Arduino; ESP32,Robot Controller,Expecting it to drive motors,Low risk,https://robu.in/?s=PS2+joystick+module+Arduino&post_type=product,https://robocraze.com/search?q=PS2+joystick+module+Arduino,https://www.amazon.in/s?k=PS2+joystick+module+Arduino,PS2 joystick module Arduino,Legacy/Core,General / Beginner Robotics,Existing catalog item,
CON-001,830-Point Breadboard,Connections,No-solder circuit board,Temporarily connects components,Beginner,N/A,1,830 point solderless breadboard,Jumper wires; DIP parts,Most electronics projects,Misunderstanding connected rows,Do not force thick wires,https://robu.in/?s=830+point+solderless+breadboard&post_type=product,https://robocraze.com/search?q=830+point+solderless+breadboard,https://www.amazon.in/s?k=830+point+solderless+breadboard,830 point solderless breadboard,Legacy/Core,General / Beginner Robotics,Existing catalog item,
CON-002,Male-Male Jumper Wires,Connections,Reusable circuit wires,Connects breadboard and headers,Beginner,N/A,10,male to male jumper wires 20cm,Breadboard; Arduino,Most breadboard projects,Loose connections,Power off when rewiring,https://robu.in/?s=male+to+male+jumper+wires+20cm&post_type=product,https://robocraze.com/search?q=male+to+male+jumper+wires+20cm,https://www.amazon.in/s?k=male+to+male+jumper+wires+20cm,male to male jumper wires 20cm,Legacy/Core,General / Beginner Robotics,Existing catalog item,
CON-003,Male-Female Jumper Wires,Connections,Sensor connecting wires,Connects module pins to boards,Beginner,N/A,10,male to female jumper wires 20cm,Sensors; Arduino,Sensor Projects,Pulling by the wire,Power off when rewiring,https://robu.in/?s=male+to+female+jumper+wires+20cm&post_type=product,https://robocraze.com/search?q=male+to+female+jumper+wires+20cm,https://www.amazon.in/s?k=male+to+female+jumper+wires+20cm,male to female jumper wires 20cm,Legacy/Core,General / Beginner Robotics,Existing catalog item,
CON-004,Female-Female Jumper Wires,Connections,Pin-to-pin wires,Joins male headers,Beginner,N/A,6,female to female jumper wires 20cm,Modules,Module Connections,Loose connectors,Power off when rewiring,https://robu.in/?s=female+to+female+jumper+wires+20cm&post_type=product,https://robocraze.com/search?q=female+to+female+jumper+wires+20cm,https://www.amazon.in/s?k=female+to+female+jumper+wires+20cm,female to female jumper wires 20cm,Legacy/Core,General / Beginner Robotics,Existing catalog item,
CON-005,USB Data Cable,Connections,Code-upload cable,Carries programming data and power,Beginner,5V USB,1,USB data cable for Arduino,Controller-specific,All coded projects,Using charge-only cable,Use intact cable,https://robu.in/?s=USB+data+cable+for+Arduino&post_type=product,https://robocraze.com/search?q=USB+data+cable+for+Arduino,https://www.amazon.in/s?k=USB+data+cable+for+Arduino,USB data cable for Arduino,Legacy/Core,General / Beginner Robotics,Existing catalog item,
MECH-001,2WD Robot Chassis,Mechanical,The robot's body,Holds motors controller and battery,Beginner,N/A,1,2WD robot car chassis kit,BO/TT motors,Robot Car; Obstacle Robot,Wrong motor mounting type,Remove sharp edges,https://robu.in/?s=2WD+robot+car+chassis+kit&post_type=product,https://robocraze.com/search?q=2WD+robot+car+chassis+kit,https://www.amazon.in/s?k=2WD+robot+car+chassis+kit,2WD robot car chassis kit,Legacy/Core,General / Beginner Robotics,Existing catalog item,
MECH-002,Robot Wheel,Mechanical,Robot shoes,Transfers motor rotation to floor,Beginner,N/A,2,robot wheel for BO motor,BO motor,Robot Car; Line Follower,Wrong shaft type,Keep fingers clear,https://robu.in/?s=robot+wheel+for+BO+motor&post_type=product,https://robocraze.com/search?q=robot+wheel+for+BO+motor,https://www.amazon.in/s?k=robot+wheel+for+BO+motor,robot wheel for BO motor,Legacy/Core,General / Beginner Robotics,Existing catalog item,
MECH-003,Caster Wheel,Mechanical,Balancing wheel,Supports a 2-wheel robot,Beginner,N/A,1,small robot caster wheel,2WD chassis,Robot Car,Wrong mounting height,Secure screws,https://robu.in/?s=small+robot+caster+wheel&post_type=product,https://robocraze.com/search?q=small+robot+caster+wheel,https://www.amazon.in/s?k=small+robot+caster+wheel,small robot caster wheel,Legacy/Core,General / Beginner Robotics,Existing catalog item,
MECH-004,M3 Screw Nut Spacer Set,Mechanical,Robot building hardware,Mounts boards and mechanisms,Beginner,N/A,1,M3 spacer screw kit electronics,Most boards/chassis,Most robot builds,Using screws too long,Do not overtighten PCBs,https://robu.in/?s=M3+spacer+screw+kit+electronics&post_type=product,https://robocraze.com/search?q=M3+spacer+screw+kit+electronics,https://www.amazon.in/s?k=M3+spacer+screw+kit+electronics,M3 spacer screw kit electronics,Legacy/Core,General / Beginner Robotics,Existing catalog item,
BASIC-001,220 Ohm Resistor,Basic Electronics,LED protector,Limits current,Beginner,Passive,5,220 ohm resistor 1/4 watt,LED circuits,LED Projects,Skipping resistor,Use suitable value,https://robu.in/?s=220+ohm+resistor+1%2F4+watt&post_type=product,https://robocraze.com/search?q=220+ohm+resistor+1%2F4+watt,https://www.amazon.in/s?k=220+ohm+resistor+1%2F4+watt,220 ohm resistor 1/4 watt,Legacy/Core,General / Beginner Robotics,Existing catalog item,
BASIC-002,10k Ohm Resistor,Basic Electronics,Signal helper,Used for pull-ups and voltage dividers,Beginner,Passive,5,10k resistor 1/4 watt,Sensors; buttons,LDR; Button Projects,Wrong resistor value,Low risk,https://robu.in/?s=10k+resistor+1%2F4+watt&post_type=product,https://robocraze.com/search?q=10k+resistor+1%2F4+watt,https://www.amazon.in/s?k=10k+resistor+1%2F4+watt,10k resistor 1/4 watt,Legacy/Core,General / Beginner Robotics,Existing catalog item,
BASIC-003,2N2222 NPN Transistor,Basic Electronics,Tiny electronic switch,Lets a small signal control a larger DC load,Intermediate,Circuit dependent,2,2N2222 NPN transistor,Arduino switching circuits,Fan; LED Experiments,Wrong pinout,Observe current limits,https://robu.in/?s=2N2222+NPN+transistor&post_type=product,https://robocraze.com/search?q=2N2222+NPN+transistor,https://www.amazon.in/s?k=2N2222+NPN+transistor,2N2222 NPN transistor,Legacy/Core,General / Beginner Robotics,Existing catalog item,
BASIC-004,1N4007 Diode,Basic Electronics,One-way electrical valve,Blocks reverse current and suppresses inductive kick,Intermediate,Circuit dependent,3,1N4007 diode,Relay/motor circuits,Relay; Motor Experiments,Installing backwards,Check polarity band,https://robu.in/?s=1N4007+diode&post_type=product,https://robocraze.com/search?q=1N4007+diode,https://www.amazon.in/s?k=1N4007+diode,1N4007 diode,Legacy/Core,General / Beginner Robotics,Existing catalog item,
COM-001,HC-05 Bluetooth Module,Communication,Phone-to-robot Bluetooth,Provides Bluetooth serial communication,Intermediate,Logic-level care,1,HC-05 Bluetooth module,Arduino,Phone Controlled Robot,Ignoring logic levels,Check voltage requirements,https://robu.in/?s=HC-05+Bluetooth+module&post_type=product,https://robocraze.com/search?q=HC-05+Bluetooth+module,https://www.amazon.in/s?k=HC-05+Bluetooth+module,HC-05 Bluetooth module,Legacy/Core,General / Beginner Robotics,Existing catalog item,
COM-002,NRF24L01 Module,Communication,Wireless project radio,Provides short-range 2.4GHz data link,Intermediate,3.3V,2,NRF24L01 2.4GHz module,Arduino; ESP32,Wireless Controller,Powering from 5V,3.3V only,https://robu.in/?s=NRF24L01+2.4GHz+module&post_type=product,https://robocraze.com/search?q=NRF24L01+2.4GHz+module,https://www.amazon.in/s?k=NRF24L01+2.4GHz+module,NRF24L01 2.4GHz module,Legacy/Core,General / Beginner Robotics,Existing catalog item,
COM-003,RC522 RFID Module,Communication,Tap-card reader,Reads compatible RFID cards/tags,Intermediate,3.3V,1,RC522 RFID reader module,Arduino; ESP32,RFID Demo,Using 5V logic,3.3V device,https://robu.in/?s=RC522+RFID+reader+module&post_type=product,https://robocraze.com/search?q=RC522+RFID+reader+module,https://www.amazon.in/s?k=RC522+RFID+reader+module,RC522 RFID reader module,Legacy/Core,General / Beginner Robotics,Existing catalog item,
TOOL-001,Digital Multimeter,Tools,The robot detective,Measures voltage resistance and continuity,Beginner,N/A,1,digital multimeter beginner electronics,All projects,Debugging,Measuring current incorrectly,Use only safe low-voltage circuits,https://robu.in/?s=digital+multimeter+beginner+electronics&post_type=product,https://robocraze.com/search?q=digital+multimeter+beginner+electronics,https://www.amazon.in/s?k=digital+multimeter+beginner+electronics,digital multimeter beginner electronics,Legacy/Core,General / Beginner Robotics,Existing catalog item,
TOOL-002,Small Screwdriver Set,Tools,Robot building screwdrivers,Tightens chassis and terminal screws,Beginner,N/A,1,precision screwdriver set electronics,Mechanical parts,All robot builds,Wrong screwdriver size,Keep tools organized,https://robu.in/?s=precision+screwdriver+set+electronics&post_type=product,https://robocraze.com/search?q=precision+screwdriver+set+electronics,https://www.amazon.in/s?k=precision+screwdriver+set+electronics,precision screwdriver set electronics,Legacy/Core,General / Beginner Robotics,Existing catalog item,
TOOL-003,Wire Stripper/Cutter,Tools,Wire preparation tool,Cuts and strips insulated wire,Intermediate,N/A,1,mini wire stripper cutter electronics,Hookup wire,Custom Wiring,Cutting toward fingers,Adult supervision recommended,https://robu.in/?s=mini+wire+stripper+cutter+electronics&post_type=product,https://robocraze.com/search?q=mini+wire+stripper+cutter+electronics,https://www.amazon.in/s?k=mini+wire+stripper+cutter+electronics,mini wire stripper cutter electronics,Legacy/Core,General / Beginner Robotics,Existing catalog item,
MECH-005,608 Ball Bearing,"Bearings, Shafts & Structural",Robot skeleton part,Supports rotating robot joints while reducing friction and play.,Intermediate,Passive / model dependent,2–12+,608 Ball Bearing,Robot frames; joints; motors; transmissions,Custom Robot Joint,"Misalignment, poor fit or undersizing the mechanical load.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=608+Ball+Bearing&post_type=product,https://robocraze.com/search?q=608+Ball+Bearing,https://www.amazon.in/s?k=608+Ball+Bearing,608 Ball Bearing,P0,All mechanical robots,"Your Mechanical category currently has only chassis/wheels/fasteners; joints need bearings, shafts, frames and hubs.",GAP-138
MECH-006,Aluminium Extrusion 2020/2040,"Bearings, Shafts & Structural",Robot skeleton part,"Supports robot structures, rotating joints and mechanical assemblies.",Intermediate,Passive / model dependent,2–12+,Aluminium Extrusion 2020/2040,Robot frames; joints; motors; transmissions,Custom Robot Joint,"Misalignment, poor fit or undersizing the mechanical load.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=Aluminium+Extrusion+2020%2F2040&post_type=product,https://robocraze.com/search?q=Aluminium+Extrusion+2020%2F2040,https://www.amazon.in/s?k=Aluminium+Extrusion+2020%2F2040,Aluminium Extrusion 2020/2040,P0,All mechanical robots,"Your Mechanical category currently has only chassis/wheels/fasteners; joints need bearings, shafts, frames and hubs.",GAP-148
MECH-007,Aluminium Shaft,"Bearings, Shafts & Structural",Robot skeleton part,"Supports robot structures, rotating joints and mechanical assemblies.",Intermediate,Passive / model dependent,2–12+,Aluminium Shaft,Robot frames; joints; motors; transmissions,Custom Robot Joint,"Misalignment, poor fit or undersizing the mechanical load.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=Aluminium+Shaft&post_type=product,https://robocraze.com/search?q=Aluminium+Shaft,https://www.amazon.in/s?k=Aluminium+Shaft,Aluminium Shaft,P0,All mechanical robots,"Your Mechanical category currently has only chassis/wheels/fasteners; joints need bearings, shafts, frames and hubs.",GAP-146
MECH-008,Carbon-Fiber Tube,"Bearings, Shafts & Structural",Robot skeleton part,"Supports robot structures, rotating joints and mechanical assemblies.",Intermediate,Passive / model dependent,2–12+,Carbon-Fiber Tube,Robot frames; joints; motors; transmissions,Custom Robot Joint,"Misalignment, poor fit or undersizing the mechanical load.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=Carbon-Fiber+Tube&post_type=product,https://robocraze.com/search?q=Carbon-Fiber+Tube,https://www.amazon.in/s?k=Carbon-Fiber+Tube,Carbon-Fiber Tube,P0,All mechanical robots,"Your Mechanical category currently has only chassis/wheels/fasteners; joints need bearings, shafts, frames and hubs.",GAP-147
